#Assembly	Genome Center name	RefSeq Accession.version	GenBank Accession.version	NCBI name
GeoFor_1.0	C12739530	NW_005081163.1	JH766753.1	GPS_002036731.1
GeoFor_1.0	C12739566	NW_005081153.1	JH766743.1	GPS_002036721.1
GeoFor_1.0	C12739618	NW_005081182.1	JH766772.1	GPS_002036750.1
GeoFor_1.0	C12739650	NW_005081155.1	JH766745.1	GPS_002036723.1
GeoFor_1.0	C12739712	NW_005081168.1	JH766758.1	GPS_002036736.1
GeoFor_1.0	C12739728	NW_005081149.1	JH766739.1	GPS_002036717.1
GeoFor_1.0	C12739762	NW_005081236.1	JH766826.1	GPS_002036804.1
GeoFor_1.0	C12739778	NW_005081205.1	JH766795.1	GPS_002036773.1
GeoFor_1.0	C12739834	NW_005081134.1	JH766724.1	GPS_002036702.1
GeoFor_1.0	C12739836	NW_005081208.1	JH766798.1	GPS_002036776.1
GeoFor_1.0	C12739874	NW_005081167.1	JH766757.1	GPS_002036735.1
GeoFor_1.0	C12739890	NW_005081166.1	JH766756.1	GPS_002036734.1
GeoFor_1.0	C12739900	NW_005081204.1	JH766794.1	GPS_002036772.1
GeoFor_1.0	C12739906	NW_005081217.1	JH766807.1	GPS_002036785.1
GeoFor_1.0	C12739936	NW_005081218.1	JH766808.1	GPS_002036786.1
GeoFor_1.0	C12739994	NW_005081169.1	JH766759.1	GPS_002036737.1
GeoFor_1.0	C12739998	NW_005081181.1	JH766771.1	GPS_002036749.1
GeoFor_1.0	C12740002	NW_005081140.1	JH766730.1	GPS_002036708.1
GeoFor_1.0	C12740018	NW_005081126.1	JH766716.1	GPS_002036694.1
GeoFor_1.0	C12740106	NW_005081157.1	JH766747.1	GPS_002036725.1
GeoFor_1.0	C12740112	NW_005081225.1	JH766815.1	GPS_002036793.1
GeoFor_1.0	C12740144	NW_005081135.1	JH766725.1	GPS_002036703.1
GeoFor_1.0	C12740178	NW_005081214.1	JH766804.1	GPS_002036782.1
GeoFor_1.0	C12740196	NW_005081202.1	JH766792.1	GPS_002036770.1
GeoFor_1.0	C12740212	NW_005081209.1	JH766799.1	GPS_002036777.1
GeoFor_1.0	C12740216	NW_005081193.1	JH766783.1	GPS_002036761.1
GeoFor_1.0	C12740228	NW_005081156.1	JH766746.1	GPS_002036724.1
GeoFor_1.0	C12740240	NW_005081198.1	JH766788.1	GPS_002036766.1
GeoFor_1.0	C12740258	NW_005081179.1	JH766769.1	GPS_002036747.1
GeoFor_1.0	C12740274	NW_005081158.1	JH766748.1	GPS_002036726.1
GeoFor_1.0	C12740292	NW_005081234.1	JH766824.1	GPS_002036802.1
GeoFor_1.0	C12740300	NW_005081190.1	JH766780.1	GPS_002036758.1
GeoFor_1.0	C12740310	NW_005081194.1	JH766784.1	GPS_002036762.1
GeoFor_1.0	C12740334	NW_005081206.1	JH766796.1	GPS_002036774.1
GeoFor_1.0	C12740408	NW_005081238.1	JH766828.1	GPS_002036806.1
GeoFor_1.0	C12740426	NW_005081137.1	JH766727.1	GPS_002036705.1
GeoFor_1.0	C12740460	NW_005081171.1	JH766761.1	GPS_002036739.1
GeoFor_1.0	C12740462	NW_005081221.1	JH766811.1	GPS_002036789.1
GeoFor_1.0	C12740464	NW_005081183.1	JH766773.1	GPS_002036751.1
GeoFor_1.0	C12740466	NW_005081237.1	JH766827.1	GPS_002036805.1
